Character,Key1,Key2
 ,Q=,C.
	,R=,&n
"
",G=,#!
"
",X=,s)
,Q=,3)
,A=,Oz
a,D=,4t
b,N=,lC
c,U=,i<
d,G=,.;
e,I=,EA
f,E=,}G
g,D=,Lj
h,N=,>n
i,Y=,ci
j,A=,~y
k,B=,Y.
l,Q=,Fz
m,E=,rv
n,T=,1X
o,X=,/-
p,D=,X!
q,E=,P%
r,K=,ks
s,V=,T_
t,F=,(N
u,E=,dR
v,R=,[8
w,L=,>|
x,I=,pn
y,B=,ku
z,I=,?/
A,Q=,c`
B,H=,R^
C,I=,Nu
D,P=,DI
E,E=,ra
F,L=,A:
G,T=,c{
H,G=,V#
I,V=,m?
J,V=,_d
K,M=,k}
L,V=,o7
M,E=,a9
N,A=,+/
O,A=,GB
P,Y=,e$
Q,B=,O^
R,E=,){
S,D=,NV
T,U=,9!
U,B=,Z9
V,U=,)b
W,W=,6B
X,G=,]u
Y,D=,p(
Z,V=,tR
0,N=,j_
1,Q=,#Z
2,V=,+9
3,Q=,Hh
4,K=,-?
5,T=,FW
6,O=,",B"
7,G=,_p
8,O=,J&
9,H=,-E
!,A=,"4"""
"""",M=,Y&
#,R=,9i
$,K=,W+
%,S=,@?
&,V=,qC
',S=,>}
(,F=,@>
),S=,T2
*,Q=,t-
+,Q=,mp
",",F=,wL
-,I=,A+
.,D=,kt
/,C=,b)
:,S=,2#
;,O=,%z
<,U=,U{
=,R=,J8
>,M=,hM
?,Y=,4#
@,V=,ks
[,N=,)n
\,M=,o2
],E=,\l
^,F=,I\
_,T=,zC
`,D=,Z`
{,G=,y2
|,D=,UM
},N=,wX
~,C=,0N
